 # sweep    Energy    eta
         417  -699.34028824107429        8.1721238926052320E-002
         418  -706.44433375271808        9.1833816850501807E-002
         419  -711.02265755010728        8.8987783888413469E-002
         420  -706.90914695742765        8.2328825684203050E-002
         421  -708.26309140869773        8.0519474690600112E-002
         422  -706.80371174479171        7.7304977725008758E-002
         423  -713.66891916821373        7.7735646146432955E-002
         424  -712.91847352929392        7.8168713834950568E-002
         425  -706.74029579327919        8.5435215241099635E-002
         426  -707.00729070902855        8.5911177467139041E-002
         427  -710.74104101539206        8.4023096676238210E-002
         428  -712.93181631802099        8.2176510475192491E-002
         429  -713.76237985713055        7.8168713834950568E-002
         430  -718.17794662901133        7.8604194156952745E-002
         431  -711.51571222845814        7.8313605209687651E-002
         432  -708.11978835947605        7.8749892726018997E-002
         433  -703.05845359311138        8.2940939658024862E-002
         434  -704.89514081881566        7.8168713834950540E-002
         435  -700.04848816928848        7.9335387912520219E-002
         436  -697.21736222489551        8.7516941367729889E-002
         437  -703.45886394221941        8.7193403213911669E-002
         438  -707.44128717748504        8.7679160359516423E-002
         439  -706.96027999051421        8.3402996255247427E-002
         440  -705.26175492015670        8.1570038079422882E-002
         441  -707.75868109810426        8.6710337243764535E-002
         442  -710.50666739234543        8.8004495708917552E-002
         443  -708.93761613972003        9.0148830647727829E-002
         444  -709.40096135394606        8.6549910713361211E-002
         445  -713.54754022142970        8.9483526916975531E-002
         446  -713.76324781280266        8.6710332075425833E-002
         447  -711.80818875038847        8.5593560297358193E-002
         448  -710.59743578824077        8.4491171801817977E-002
         449  -706.16120324112569        8.1872695643466636E-002
         450  -706.71244587420290        8.0073369077341680E-002
         451  -706.50858630919788        8.6710321738749374E-002
         452  -705.42386737900495        8.4023071635407773E-002
         453  -707.77741847543064        8.6070394408211376E-002
         454  -708.53590413674601        8.8167602652403462E-002
         455  -713.65793271205780        8.5435189779425116E-002
         456  -719.85891469190369        8.6710316570411602E-002
         457  -720.01692550990481        8.4023066627242585E-002
         458  -713.74829440144242        8.3712444850134321E-002
         459  -713.34859307216243        8.3402971399221315E-002
         460  -711.07805063379408        8.3867611931974104E-002
         461  -713.44803048862866        8.5911146742913211E-002
         462  -712.26168242666301        8.2481403546292395E-002
         463  -712.12231370527138        7.9188582493546197E-002
         464  -716.38376353311662        7.8895833142585775E-002
         465  -716.82932195566855        7.7161929459382148E-002
         466  -714.56927791698388        7.8313577202564919E-002
         467  -716.15496942061975        8.6389755248835715E-002
         468  -716.15855881394350        8.6070384147821408E-002
         469  -717.56607663856369        8.1872681003489114E-002
         470  -713.68156546164232        7.9335354811223807E-002
         471  -717.32194686247908        8.2024433060703367E-002
         472  -714.08381806292061        8.4804657834314956E-002
         473  -711.72576469815704        8.6871024890941881E-002
